provider_name,principal_code,month,folders_checked,email_files_found,sender_emails,provider_related_emails,other_external_emails,sample_folder_ids,sample_file_ids,status,notes
QDOS,QDOS,2026-05,1,1,,mwoods@qdosassist.co.uk,,380808441577,2222944060494,verified_sample,"Read-only Box sample from QDOS261194 / ASSESSMENT.msg. Sender shown as Desk because sampled message was a reply; provider address extracted from original inbound thread."
Graham Coffey (GGP),GG,2025-07,1,1,,m.george@gcoffey.co.uk,,332419907196,1933238200794,partial sample,"Folder search for GG in July 2025-June 2026 returned one matching GGP folder; message text exposed provider address in attached instruction."
Robert James Solicitors,RJS,2026-04,1,1,,l.harris@robertjameslaw.co.uk;s.edwards@robertjameslaw.co.uk,,376881083856,2201271205247,verified_sample,"First RJS .eml had no Box text representation; fallback .msg from RJS26071 extracted provider addresses."
AX,AX,2026-05,1,1,engineersinspections@ax-uk.com,engineersinspections@ax-uk.com;CreditRepair_TeamInbox@ax-uk.com,,384380548170,2245988416127,verified_sample,"Exact AX folder AX26295 contained New inspection request .msg."
Savas & Savage,SS,2026-04,1,1,,ath@savasandsavage.co.uk,,379134506053,2212614292355,verified_sample,"Exact SS folder SS26006 contained instruction .msg."
"DFD (Richard or Joshua) / Also Car Claims",DFD,2025-11,1,1,,, ,350975347037,2045393372621,verified_no_email_address,"Sampled DFD25193 instruction .msg identified Davison Flynn Duke and website dfd-solicitors.co.uk, but Box text did not expose an e-mail address."
QCL (QCL),QCL,2026-02,1,1,,claims@qc-law.co.uk;Ahmed@qc-law.co.uk;Info@qc-law.co.uk,vd@complexreports.com,363492919115,2124099508279,verified_sample,"Exact QCL folder QCL26039 .msg included QC Law addresses and one third-party forwarding address."
Fairway Solicitors,FW,2026-06,1,1,,, ,388928466505,2276749506566,verified_no_email_address,"Sampled FW26234 .msg showed sender as Info but no provider e-mail address in Box text."
Oakwoods Solicitors,OAK,2026-06,1,1,,E.Pearson@oakwoodscotland.co.uk;P.Mandy@oakwoodscotland.co.uk,,386059098755,2257394407072,verified_sample,"Sampled OAK26194 .msg extracted Oakwood Scotland addresses."
Montreal Prestige,MP,2026-06,1,1,,"mdakri@montrealprestige.co.uk;info@montrealprestige.co.uk",,389537348988,2280769552427,verified_sample,"Exact MP folder MP26067 contained NEW INSTRUCTION .msg."
BlackStone,BLACK,2026-06,1,1,,faisal@blackstone-legal.co.uk;info@blackstone-legal.co.uk,,387456338306,2266487682435,verified_sample,"Exact BLACK folder BLACK26101 contained provider instruction .msg."
Knightsbridge (KBS),KBS,2026-06,1,1,,shamaila@knightsbridgesolicitors.co.uk,,388912110038,2276656028868,verified_sample,"Exact KBS folder KBS26098 contained instruction .msg."
Auto Logistic Solutions Ltd,ALS,2026-06,1,1,,kalan@autologistic.co.uk,,389550169880,2280862792376,verified_sample,"Exact ALS folder ALS26066 contained New Inspection Instruction .msg."
Accident Specialists (Direct jobs),ACSP,2026-06,1,1,,"sarah@accidentspecialist.co.uk;info@accidentspecialist.co.uk",,391923885187,2296053604045,verified_sample,"Exact ACSP folder ACSP26047 contained private instruction .msg."
Smart Business Link,SBL,2026-06,1,1,,claims@smartbusinesslink.com,info@cldaccidentrepairs.co.uk,391514080553,2293462686453,verified_sample,"Exact SBL folder SBL26149 contained Engineer Instruction .msg; repairer e-mail kept as other external."
Baker Coleman,BC,2026-06,1,1,,"a.nawaz@bakercoleman.co.uk;N.Ellahi@bakercoleman.co.uk",,388870196823,2276365271683,verified_sample,"Exact BC folder BC26052 contained instruction .msg."
Swan,SWAN,2026-06,1,1,,"georgia@swansolicitors.co.uk;hello@swansolicitors.co.uk",,389280229682,2279002211537,verified_sample,"Exact SWAN folder SWAN26044 contained instruction .msg."
NETWORK HD UK / YM Law,YML,2026-06,1,1,networkhduk@gmail.com,networkhduk@gmail.com,,390740677334,2289021591889,verified_sample,"Exact YML folder YML26062 contained instruction .msg."
Avisons Solicitors,AVI,2026-05,1,1,,"k.khawaja@avisonslaw.com;info@avisonslaw.com",,380805177072,2222917614159,verified_sample,"Exact AVI folder AVI26001 contained instruction .msg."
KMR,KMR,2026-06,1,1,,info@kmrlaw.co.uk,,390752199822,2289091359912,verified_sample,"Exact KMR folder KMR26031 contained instruction .msg."
HTU Assessors Ltd,HTU,2026-06,1,1,,admin@htuassessors.co.uk,,388901594182,2276570790198,verified_sample,"Exact HTU folder HTU26023 contained .msg."
R1AM/MOTORX,R1AM+MOTORX,2026-06,1,1,info@motorx.uk,info@motorx.uk,,386761842648,2262153512886,verified_sample,"R1AM search was noisy; exact MOTORX folder MOTORX26008 contained instruction .msg."
Kerr Brown Partnership,KERR,2026-06,1,1,,"sr@kerrbrown.co.uk",jm@vehicleresolutions.co.uk;shaun@insure-smart.co.uk,391560153241,2293754680786,verified_sample,"Exact KERR folder KERR26028 contained instruction .msg; copied third-party addresses kept as other external."
AMS Solicitors,AMS,2026-06,1,1,,rsy@amssolicitors.co.uk,,389547164723,2280821415777,verified_sample,"Exact AMS folder AMS26035 contained instruction .msg."
Castle,CASTLE,2025-10,1,1,,,simon.stubbs@hrowen.co.uk,343217087241,2003057626943,verified_no_provider_email,"Exact CASTLE folder CASTLE25046 contained a .msg, but sampled message was a third-party parts-pricing thread, not a Castle provider e-mail."
Alison Law,ALISON,2025-09,1,1,,humaira.anjum@alison-law.co.uk,,341768207489,1990087163579,verified_sample,"Exact ALISON folder ALISON25043 contained instruction .msg; provider e-mail was in attached instruction text."
Ten Legal,TEN,2026-05,1,1,,sa@tenlegal.co.uk,,380396195949,2220513896919,verified_sample,"Exact TEN folder TEN26020 contained instruction .msg."
Woodlands,WLS,2026-06,1,1,,AS@woodlands-solicitors.com,,386758950494,2262050970433,verified_sample,"Exact WLS folder WLS26020 contained instruction .msg."
